| appname | description | site | download | version |
| aiming-pro | ----------------------------------------------------------------------------- | https://aiming.pro | https://huggingface.co/datasets/pkgforge/AMcache/resolve/aiming-pro%2Fx86_64-Linux%2F104/aiming-pro | 1.0.4 |
| air-controller-desktop | ----------------------------------------------------------------------------- | https://ac.yhdm360.cn/ | https://huggingface.co/datasets/pkgforge/AMcache/resolve/air-controller-desktop%2Fx86_64-Linux%2F040/air-controller-desktop | 0.4.0 |
| airspaces | ----------------------------------------------------------------------------- | https://github.com/foucdeg/x-plane-map-electron | https://huggingface.co/datasets/pkgforge/AMcache/resolve/airspaces%2Fx86_64-Linux%2F260/airspaces | 2.6.0 |
| aisap | ----------------------------------------------------------------------------- | https://github.com/mgord9518/aisap | https://huggingface.co/datasets/pkgforge/AMcache/resolve/aisap%2Fx86_64-Linux%2F0105/aisap | 0.10.5 |
| aisleriot | ----------------------------------------------------------------------------- | https://github.com/ivan-hc/Aisleriot-appimage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/aisleriot%2Fx86_64-Linux%2F32235/aisleriot | 3.22.35 |
| akasha | ----------------------------------------------------------------------------- | https://github.com/AKASHAorg | https://huggingface.co/datasets/pkgforge/AMcache/resolve/akasha%2Fx86_64-Linux%2F072/akasha | 0.7.2 |
| akuse | ----------------------------------------------------------------------------- | https://github.com/akuse-app/akuse | https://huggingface.co/datasets/pkgforge/AMcache/resolve/akuse%2Fx86_64-Linux%2F1101/akuse | 1.10.1 |
| alacritty | ----------------------------------------------------------------------------- | https://github.com/pkgforge-dev/alacritty-AppImage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/alacritty%2Fx86_64-Linux%2F0151/alacritty | 0.15.1 |
| albafetch | ----------------------------------------------------------------------------- | https://github.com/xplshn/dbin | https://huggingface.co/datasets/pkgforge/AMcache/resolve/albafetch%2Fx86_64-Linux%2F421/albafetch.bundle.tar.zstd | 4.2.1 |
| alduin | ----------------------------------------------------------------------------- | https://alduinapp.github.io/ | https://huggingface.co/datasets/pkgforge/AMcache/resolve/alduin%2Fx86_64-Linux%2F320/alduin | 3.2.0 |
| alephium-wallet | ----------------------------------------------------------------------------- | https://alephium.org/ | https://huggingface.co/datasets/pkgforge/AMcache/resolve/alephium-wallet%2Fx86_64-Linux%2F220/alephium-wallet | 2.2.0 |
| alexandria | ----------------------------------------------------------------------------- | https://github.com/btpf/Alexandria | https://huggingface.co/datasets/pkgforge/AMcache/resolve/alexandria%2Fx86_64-Linux%2F0131/alexandria | 0.13.1 |
| alien-tec-ui | ----------------------------------------------------------------------------- | https://sourceforge.net/projects/alien-tec-ui/ | https://huggingface.co/datasets/pkgforge/AMcache/resolve/alien-tec-ui%2Fx86_64-Linux%2F20211212/alien-tec-ui | 2021.12.12 |
| allusion | ----------------------------------------------------------------------------- | https://github.com/allusion-app/Allusion | https://huggingface.co/datasets/pkgforge/AMcache/resolve/allusion%2Fx86_64-Linux%2F100/allusion | 1.0.0 |
| alpine-flatimage | ----------------------------------------------------------------------------- | https://github.com/ruanformigoni/flatimage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/alpine-flatimage%2Fx86_64-Linux%2F108/alpine-flatimage.bundle.tar.zstd | 1.0.8 |
| alpine-flatimage | FlatImage, a hybrid of Flatpak sandboxing with AppImage portability | https://github.com/ruanformigoni/flatimage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/alpine-flatimage%2Fx86_64-Linux%2F108/alpine-flatimage | 1.0.8 |
| alr2appimage | ----------------------------------------------------------------------------- | https://github.com/mgrojo/alr2appimage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/alr2appimage%2Fx86_64-Linux%2F100/alr2appimage | 1.0.0 |
| altair | ----------------------------------------------------------------------------- | https://github.com/altair-graphql/altair | https://huggingface.co/datasets/pkgforge/AMcache/resolve/altair%2Fx86_64-Linux%2F825/altair | 8.2.5 |
| altitude | ----------------------------------------------------------------------------- | https://github.com/TheLindaProjectInc/Altitude | https://huggingface.co/datasets/pkgforge/AMcache/resolve/altitude%2Fx86_64-Linux%2F342/altitude | 3.4.2 |
| altus | ----------------------------------------------------------------------------- | https://github.com/amanharwara/altus | https://huggingface.co/datasets/pkgforge/AMcache/resolve/altus%2Fx86_64-Linux%2F571/altus | 5.7.1 |
| alvr | ----------------------------------------------------------------------------- | https://github.com/elpinguinoopensource/alvr-appimage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/alvr%2Fx86_64-Linux%2F1826/alvr | 18.2.6 |
| amarok | ----------------------------------------------------------------------------- | https://github.com/ivan-hc/Amarok-appimage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/amarok%2Fx86_64-Linux%2F3281/amarok | 3.2.81 |
| amazingmarvin | ----------------------------------------------------------------------------- | https://amazingmarvin.com/ | https://huggingface.co/datasets/pkgforge/AMcache/resolve/amazingmarvin%2Fx86_64-Linux%2F1672/amazingmarvin | 1.67.2 |
| amazon-q | ----------------------------------------------------------------------------- | https://aws.amazon.com | https://huggingface.co/datasets/pkgforge/AMcache/resolve/amazon-q%2Fx86_64-Linux%2F20250611/amazon-q | 2025.06.11 |
| ambermoon | No description available | https://github.com/Pyrdacor/Ambermoon.net | https://huggingface.co/datasets/pkgforge/AMcache/resolve/ambermoonnet%2Fx86_64-Linux%2Fv1108/ambermoon.net.bundle.tar.zstd | v1.10.8 |
| amdgpu_top | ----------------------------------------------------------------------------- | https://github.com/Umio-Yasuno/amdgpu_top | https://huggingface.co/datasets/pkgforge/AMcache/resolve/amdgpu_top%2Fx86_64-Linux%2F0105/amdgpu_top | 0.10.5 |
| amfora | ----------------------------------------------------------------------------- | https://github.com/xplshn/dbin | https://huggingface.co/datasets/pkgforge/AMcache/resolve/amfora%2Fx86_64-Linux%2F1100/amfora.bundle.tar.zstd | 1.10.0 |
| amusiz | ----------------------------------------------------------------------------- | https://github.com/mirkobrombin/Amusiz | https://huggingface.co/datasets/pkgforge/AMcache/resolve/amusiz%2Fx86_64-Linux%2F133/amusiz | 1.3.3 |
| anavis | ----------------------------------------------------------------------------- | https://anavis.de/ | https://huggingface.co/datasets/pkgforge/AMcache/resolve/anavis%2Fx86_64-Linux%2F200/anavis | 2.0.0 |
| anchor | ----------------------------------------------------------------------------- | https://greymass.com/anchor/ | https://huggingface.co/datasets/pkgforge/AMcache/resolve/anchor%2Fx86_64-Linux%2F1312/anchor | 1.3.12 |
| android-knot | An Android gadget that integrates common modules such as Todo, Notes and | https://github.com/ic005k/Knot | https://huggingface.co/datasets/pkgforge/AMcache/resolve/android-knot%2Fx86_64-Linux%2F1237/android-knot | 1.2.37 |
| android-messages-desktop | ----------------------------------------------------------------------------- | https://github.com/chrisknepper/android-messages-desktop | https://huggingface.co/datasets/pkgforge/AMcache/resolve/android-messages-desktop%2Fx86_64-Linux%2F310/android-messages-desktop | 3.1.0 |
| android-studio-latest | ----------------------------------------------------------------------------- | https://github.com/zyrouge/android-studio-appimages | https://huggingface.co/datasets/pkgforge/AMcache/resolve/android-studio-latest%2Fx86_64-Linux%2F20251111/android-studio-latest | 2025.1.1.11 |
| android-studio | ----------------------------------------------------------------------------- | https://github.com/zyrouge/android-studio-appimages | https://huggingface.co/datasets/pkgforge/AMcache/resolve/android-studio%2Fx86_64-Linux%2F20243215/android-studio | 2024.3.2.15 |
| android-tools | ----------------------------------------------------------------------------- | https://github.com/Samueru-sama/android-tools-AppImage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/android-tools%2Fx86_64-Linux%2F3600/android-tools | 36.0.0 |
| animashooter-junior | ----------------------------------------------------------------------------- | https://www.animashooter.com | https://huggingface.co/datasets/pkgforge/AMcache/resolve/animashooter-junior%2Fx86_64-Linux%2F3993/animashooter-junior | 3.9.9.3 |
| animashooter-pioneer | ----------------------------------------------------------------------------- | https://www.animashooter.com | https://huggingface.co/datasets/pkgforge/AMcache/resolve/animashooter-pioneer%2Fx86_64-Linux%2F3993/animashooter-pioneer | 3.9.9.3 |
| animos | ----------------------------------------------------------------------------- | https://animos.cf/ | https://huggingface.co/datasets/pkgforge/AMcache/resolve/animos%2Fx86_64-Linux%2F058/animos | 0.5.8 |
| aniship | ----------------------------------------------------------------------------- | https://t.me/aniship | https://huggingface.co/datasets/pkgforge/AMcache/resolve/aniship%2Fx86_64-Linux%2F004/aniship | 0.0.4 |
| ankama-launcher | ----------------------------------------------------------------------------- | https://ankama.com | https://huggingface.co/datasets/pkgforge/AMcache/resolve/ankama-launcher%2Fx86_64-Linux%2F3135/ankama-launcher | 3.13.5 |
| anki | ----------------------------------------------------------------------------- | https://github.com/xplshn/dbin | https://huggingface.co/datasets/pkgforge/AMcache/resolve/anki%2Fx86_64-Linux%2F2506/anki.bundle.tar.zstd | 25.06 |
| anklang | ----------------------------------------------------------------------------- | https://github.com/tim-janik/anklang | https://huggingface.co/datasets/pkgforge/AMcache/resolve/anklang%2Fx86_64-Linux%2F030/anklang | 0.3.0 |
| another-redis-desktop-manager | ----------------------------------------------------------------------------- | https://github.com/qishibo/AnotherRedisDesktopManager | https://huggingface.co/datasets/pkgforge/AMcache/resolve/another-redis-desktop-manager%2Fx86_64-Linux%2F171/another-redis-desktop-manager | 1.7.1 |
| ant-downloader | ----------------------------------------------------------------------------- | https://github.com/anatasluo/ant | https://huggingface.co/datasets/pkgforge/AMcache/resolve/ant-downloader%2Fx86_64-Linux%2F136/ant-downloader | 1.3.6 |
| antares | ----------------------------------------------------------------------------- | https://github.com/antares-sql/antares | https://huggingface.co/datasets/pkgforge/AMcache/resolve/antares%2Fx86_64-Linux%2F0735/antares | 0.7.35 |
| antimicrox | ----------------------------------------------------------------------------- | https://github.com/AntiMicroX/antimicrox | https://huggingface.co/datasets/pkgforge/AMcache/resolve/antimicrox%2Fx86_64-Linux%2F351/antimicrox | 3.5.1 |
| anydesk | ----------------------------------------------------------------------------- | https://github.com/ivan-hc/Anydesk-appimage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/anydesk%2Fx86_64-Linux%2F700/anydesk | 7.0.0 |
| anything-llm | ----------------------------------------------------------------------------- | https://useanything.com | https://huggingface.co/datasets/pkgforge/AMcache/resolve/anything-llm%2Fx86_64-Linux%2F182/anything-llm | 1.8.2 |
| anytype | ----------------------------------------------------------------------------- | https://github.com/anyproto/anytype-ts | https://huggingface.co/datasets/pkgforge/AMcache/resolve/anytype%2Fx86_64-Linux%2F04647/anytype | 0.46.47 |
| anzeigenchef | ----------------------------------------------------------------------------- | https://anzeigenchef.roundcubes.de | https://huggingface.co/datasets/pkgforge/AMcache/resolve/anzeigenchef%2Fx86_64-Linux%2F20230905/anzeigenchef | 2023.09.05 |
| aphelion-wallet | ----------------------------------------------------------------------------- | https://github.com/aphtoken/aph-wallet-gui | https://huggingface.co/datasets/pkgforge/AMcache/resolve/aphelion-wallet%2Fx86_64-Linux%2F410/aphelion-wallet | 4.1.0 |
| aphototoollibre | ----------------------------------------------------------------------------- | https://github.com/aphototool/A-Photo-Tool-Libre | https://huggingface.co/datasets/pkgforge/AMcache/resolve/aphototoollibre%2Fx86_64-Linux%2F107/aphototoollibre | 1.0.7 |
| apifox | ----------------------------------------------------------------------------- | https://apifox.com/ | https://huggingface.co/datasets/pkgforge/AMcache/resolve/apifox%2Fx86_64-Linux%2F2717/apifox | 2.7.17 |
| apk-editor-studio | ----------------------------------------------------------------------------- | https://github.com/kefir500/apk-editor-studio | https://huggingface.co/datasets/pkgforge/AMcache/resolve/apk-editor-studio%2Fx86_64-Linux%2F172/apk-editor-studio | 1.7.2 |
| apla | ----------------------------------------------------------------------------- | https://github.com/AplaProject/apla-front | https://huggingface.co/datasets/pkgforge/AMcache/resolve/apla%2Fx86_64-Linux%2F221/apla | 2.2.1 |
| app-outlet | ----------------------------------------------------------------------------- | https://appoutlet.github.io | https://huggingface.co/datasets/pkgforge/AMcache/resolve/app-outlet%2Fx86_64-Linux%2F210/app-outlet | 2.1.0 |
| appflowy | ----------------------------------------------------------------------------- | https://github.com/AppFlowy-IO/AppFlowy | https://huggingface.co/datasets/pkgforge/AMcache/resolve/appflowy%2Fx86_64-Linux%2F093/appflowy | 0.9.3 |
| apphub | ----------------------------------------------------------------------------- | https://github.com/francesco-gaglione/AppHub | https://huggingface.co/datasets/pkgforge/AMcache/resolve/apphub%2Fx86_64-Linux%2F020/apphub | 0.2.0 |
| appimage-builder | ----------------------------------------------------------------------------- | https://github.com/AppImageCrafters/appimage-builder | https://huggingface.co/datasets/pkgforge/AMcache/resolve/appimage-builder%2Fx86_64-Linux%2F111dev322Bg2709a3b/appimage-builder | 1.1.1.dev32%2Bg2709a3b |
| appimage-creator | ----------------------------------------------------------------------------- | https://github.com/Hiko-Seijuro-23/AppImage-creator | https://huggingface.co/datasets/pkgforge/AMcache/resolve/appimage-creator%2Fx86_64-Linux%2F001/appimage-creator | 0.0.1 |
| appimagecraft | ----------------------------------------------------------------------------- | https://github.com/TheAssassin/appimagecraft | https://huggingface.co/datasets/pkgforge/AMcache/resolve/appimagecraft%2Fx86_64-Linux%2F20250325/appimagecraft | 2025.03.25 |
| appimagehelper | ----------------------------------------------------------------------------- | https://gitlab.com/posktomten/appimagehelper | https://huggingface.co/datasets/pkgforge/AMcache/resolve/appimagehelper%2Fx86_64-Linux%2F2022/appimagehelper | 2022 |
| appimagelauncher | ----------------------------------------------------------------------------- | https://github.com/TheAssassin/AppImageLauncher | https://huggingface.co/datasets/pkgforge/AMcache/resolve/appimagelauncher%2Fx86_64-Linux%2F300/appimagelauncher | 3.0.0 |
| appimagelint | ----------------------------------------------------------------------------- | https://github.com/TheAssassin/appimagelint | https://huggingface.co/datasets/pkgforge/AMcache/resolve/appimagelint%2Fx86_64-Linux%2F20250214/appimagelint | 2025.02.14 |
| appimagepool | ----------------------------------------------------------------------------- | https://github.com/prateekmedia/appimagepool | https://huggingface.co/datasets/pkgforge/AMcache/resolve/appimagepool%2Fx86_64-Linux%2F510/appimagepool | 5.1.0 |
| appimagetool | Appimagetool is used to generate an AppImage from an existing AppDir | https://github.com/AppImage/appimagetool | https://huggingface.co/datasets/pkgforge/AMcache/resolve/appimagetool%2Fx86_64-Linux%2F20250421/appimagetool.bundle.tar.zstd | 2025.04.21 |
| appimagetool | ----------------------------------------------------------------------------- | https://github.com/AppImage/appimagetool | https://huggingface.co/datasets/pkgforge/AMcache/resolve/appimagetool%2Fx86_64-Linux%2F20250601/appimagetool | 2025.06.01 |
| appimageupdate | ----------------------------------------------------------------------------- | https://github.com/AppImage/AppImageUpdate | https://huggingface.co/datasets/pkgforge/AMcache/resolve/appimageupdate%2Fx86_64-Linux%2F20250516/appimageupdate | 2025.05.16 |
| appimageupdater | ----------------------------------------------------------------------------- | https://github.com/antony-jr/AppImageUpdater | https://huggingface.co/datasets/pkgforge/AMcache/resolve/appimageupdater%2Fx86_64-Linux%2F200/appimageupdater | 2.0.0 |
| appimageupdatetool | AppImageUpdate lets you update AppImages using information embedded in the | https://github.com/pkgforge-dev/AppImageUpdate | https://huggingface.co/datasets/pkgforge/AMcache/resolve/appimageupdatetool%2Fx86_64-Linux%2Fd4ad02589/appimageupdatetool.bundle.tar.zstd | d4ad02589 |
| appimageupdatetool | ----------------------------------------------------------------------------- | https://github.com/pkgforge-dev/AppImageUpdate | https://huggingface.co/datasets/pkgforge/AMcache/resolve/appimageupdatetool%2Fx86_64-Linux%2Fd4ad02589/appimageupdatetool | d4ad02589 |
| appinstall | ----------------------------------------------------------------------------- | https://github.com/Drosaca/appImageInstaller | https://huggingface.co/datasets/pkgforge/AMcache/resolve/appinstall%2Fx86_64-Linux%2F10/appinstall.bundle.tar.zstd | 1.0 |
| appinstall | AppImage Installer is an easy to use and install tool to create app | https://github.com/Drosaca/appImageInstaller | https://huggingface.co/datasets/pkgforge/AMcache/resolve/appinstall%2Fx86_64-Linux%2F10/appinstall | 1.0 |
| appium-inspector | ----------------------------------------------------------------------------- | https://github.com/appium/appium-inspector | https://huggingface.co/datasets/pkgforge/AMcache/resolve/appium-inspector%2Fx86_64-Linux%2F202531/appium-inspector | 2025.3.1 |
| aptakube | ----------------------------------------------------------------------------- | https://aptakube.com/ | https://huggingface.co/datasets/pkgforge/AMcache/resolve/aptakube%2Fx86_64-Linux%2F1119/aptakube | 1.11.9 |
| apx-gcs | ----------------------------------------------------------------------------- | https://github.com/uavos/apx-gcs | https://huggingface.co/datasets/pkgforge/AMcache/resolve/apx-gcs%2Fx86_64-Linux%2F1129/apx-gcs | 11.2.9 |
| aranym | ----------------------------------------------------------------------------- | https://aranym.github.io/ | https://huggingface.co/datasets/pkgforge/AMcache/resolve/aranym%2Fx86_64-Linux%2F110/aranym | 1.1.0 |
| arcade-manager | ----------------------------------------------------------------------------- | https://github.com/cosmo0/arcade-manager | https://huggingface.co/datasets/pkgforge/AMcache/resolve/arcade-manager%2Fx86_64-Linux%2F71/arcade-manager | 7.1 |
| arch-flatimage | ----------------------------------------------------------------------------- | https://github.com/ruanformigoni/flatimage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/arch-flatimage%2Fx86_64-Linux%2F108/arch-flatimage.bundle.tar.zstd | 1.0.8 |
| arch-flatimage | FlatImage, a hybrid of Flatpak sandboxing with AppImage portability | https://github.com/ruanformigoni/flatimage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/arch-flatimage%2Fx86_64-Linux%2F108/arch-flatimage | 1.0.8 |
| archipel | ----------------------------------------------------------------------------- | https://github.com/arso-project/archipel | https://huggingface.co/datasets/pkgforge/AMcache/resolve/archipel%2Fx86_64-Linux%2F010/archipel | 0.1.0 |
| archipelago | ----------------------------------------------------------------------------- | https://github.com/ArchipelagoMW/Archipelago | https://huggingface.co/datasets/pkgforge/AMcache/resolve/archipelago%2Fx86_64-Linux%2F062/archipelago | 0.6.2 |
| archiveweb.page | No description available | https://github.com/webrecorder/archiveweb.page | https://huggingface.co/datasets/pkgforge/AMcache/resolve/archivewebpage%2Fx86_64-Linux%2Fv0152/archiveweb.page | v0.15.2 |
| arduino-ide | ----------------------------------------------------------------------------- | https://github.com/arduino/arduino-ide | https://huggingface.co/datasets/pkgforge/AMcache/resolve/arduino-ide%2Fx86_64-Linux%2F236/arduino-ide | 2.3.6 |
| arena-tracker | ----------------------------------------------------------------------------- | https://github.com/supertriodo/Arena-Tracker | https://huggingface.co/datasets/pkgforge/AMcache/resolve/arena-tracker%2Fx86_64-Linux%2F2501/arena-tracker | 25.01 |
| ares | ----------------------------------------------------------------------------- | https://github.com/bmsuseluda/ares-emu-appimage | https://huggingface.co/datasets/pkgforge/AMcache/resolve/ares%2Fx86_64-Linux%2Fc9dfe8a1b/ares | c9dfe8a1b |
| ark.desktop.wallet | No description available | https://github.com/ArkEcosystem/desktop-wallet | https://huggingface.co/datasets/pkgforge/AMcache/resolve/arkdesktopwallet%2Fx86_64-Linux%2F295/ark.desktop.wallet | 2.9.5 |
| arkaway | ----------------------------------------------------------------------------- | https://github.com/son-link/arkaway | https://huggingface.co/datasets/pkgforge/AMcache/resolve/arkaway%2Fx86_64-Linux%2F20230301/arkaway | 20230301 |
| arma3-unix-launcher | ----------------------------------------------------------------------------- | https://github.com/muttleyxd/arma3-unix-launcher | https://huggingface.co/datasets/pkgforge/AMcache/resolve/arma3-unix-launcher%2Fx86_64-Linux%2F3/arma3-unix-launcher | 3 |
| armagetronad | ----------------------------------------------------------------------------- | https://github.com/ArmagetronAd/armagetronad | https://huggingface.co/datasets/pkgforge/AMcache/resolve/armagetronad%2Fx86_64-Linux%2F02923/armagetronad | 0.2.9.2.3 |
| armcord | ----------------------------------------------------------------------------- | https://github.com/ArmCord/ArmCord | https://huggingface.co/datasets/pkgforge/AMcache/resolve/armcord%2Fx86_64-Linux%2F115/armcord | 1.1.5 |
| around | Video calls designed for energy, ideas and action | https://around.co | https://huggingface.co/datasets/pkgforge/AMcache/resolve/around%2Fx86_64-Linux%2F1235/around | 1.2.35 |
| artifact | ----------------------------------------------------------------------------- | https://www.bitbreeds.com/artifact/ | https://huggingface.co/datasets/pkgforge/AMcache/resolve/artifact%2Fx86_64-Linux%2F104/artifact | 1.0.4 |
| artisan | ----------------------------------------------------------------------------- | https://github.com/artisan-roaster-scope/artisan | https://huggingface.co/datasets/pkgforge/AMcache/resolve/artisan%2Fx86_64-Linux%2F315/artisan | 3.1.5 |
| artix | ----------------------------------------------------------------------------- | https://www.artix.com | https://huggingface.co/datasets/pkgforge/AMcache/resolve/artix%2Fx86_64-Linux%2F220/artix | 2.20 |
| asarui | ----------------------------------------------------------------------------- | https://github.com/myazarc/AsarUI | https://huggingface.co/datasets/pkgforge/AMcache/resolve/asarui%2Fx86_64-Linux%2F102/asarui | 1.0.2 |
| asgardex | ----------------------------------------------------------------------------- | https://github.com/thorchain/asgardex-electron | https://huggingface.co/datasets/pkgforge/AMcache/resolve/asgardex%2Fx86_64-Linux%2F1401/asgardex | 1.40.1 |
| astroffers | ----------------------------------------------------------------------------- | https://github.com/jayhasyee/astroffers | https://huggingface.co/datasets/pkgforge/AMcache/resolve/astroffers%2Fx86_64-Linux%2F113/astroffers | 1.1.3 |
| astrofox | ----------------------------------------------------------------------------- | https://appimage.github.io/Astrofox/ | https://huggingface.co/datasets/pkgforge/AMcache/resolve/astrofox%2Fx86_64-Linux%2F140/astrofox | 1.4.0 |
| astroshutter | ----------------------------------------------------------------------------- | https://github.com/vleeuwenmenno/AstroShutter | https://huggingface.co/datasets/pkgforge/AMcache/resolve/astroshutter%2Fx86_64-Linux%2F003/astroshutter | 0.0.3 |
